procedencia,Isla,gasto_persona,gasto_persona_dia,year,month
Sin paquete turístico,Eivissa-Formentera,1074.98,152.03,2018,9
Con paquete turístico,Mallorca,1183.01,156.01,2018,8
Sin paquete turístico,Mallorca,1085.86,136.67,2018,8
Con paquete turístico,Menorca,1241.27,154.22,2018,8
Sin paquete turístico,Menorca,948.67,111.51,2018,8
Con paquete turístico,Eivissa-Formentera,1152.06,157.22,2018,8
Sin paquete turístico,Eivissa-Formentera,1165.06,178.74,2018,8
Con paquete turístico,Mallorca,1153.25,164.87,2018,7
Sin paquete turístico,Mallorca,1061.13,163.27,2018,7
Con paquete turístico,Menorca,1217.57,155.43,2018,7
Sin paquete turístico,Menorca,964.26,122.71,2018,7
Con paquete turístico,Eivissa-Formentera,1102.32,166.7,2018,7
Sin paquete turístico,Eivissa-Formentera,1107.39,190.54,2018,7
Con paquete turístico,Mallorca,1041.17,149.22,2018,6
Sin paquete turístico,Mallorca,877.28,149.23,2018,6
Con paquete turístico,Menorca,1071.17,137.19,2018,6
Sin paquete turístico,Menorca,865.59,130.62,2018,6
Con paquete turístico,Eivissa-Formentera,1036.21,144.21,2018,6
Sin paquete turístico,Eivissa-Formentera,873.04,176.11,2018,6
Con paquete turístico,Mallorca,1050.45,149.11,2018,5
Sin paquete turístico,Mallorca,840.61,159.76,2018,5
Con paquete turístico,Menorca,944.24,140.78,2018,5
Sin paquete turístico,Menorca,806.33,134.15,2018,5
Con paquete turístico,Eivissa-Formentera,904.29,154.4,2018,5
Sin paquete turístico,Eivissa-Formentera,797.13,171.54,2018,5
Con paquete turístico,Mallorca,1008.28,147.77,2018,4
Sin paquete turístico,Mallorca,790.2,135.3,2018,4
Con paquete turístico,Menorca,714.63,135.25,2018,4
Sin paquete turístico,Menorca,552.59,102.32,2018,4
Con paquete turístico,Eivissa-Formentera,651.63,192.05,2018,4
Sin paquete turístico,Eivissa-Formentera,741.46,156.24,2018,4
Con paquete turístico,Mallorca,970.39,141.56,2018,3
Sin paquete turístico,Mallorca,851.62,135.5,2018,3
Con paquete turístico,Menorca,552.3,103.95,2018,3
Sin paquete turístico,Menorca,521.85,87.61,2018,3
Con paquete turístico,Eivissa-Formentera,561.34,118.24,2018,3
Sin paquete turístico,Eivissa-Formentera,574.57,98.57,2018,3
Con paquete turístico,Mallorca,,,2018,2
Sin paquete turístico,Mallorca,,,2018,2
Con paquete turístico,Menorca,,,2018,2
Sin paquete turístico,Menorca,,,2018,2
Con paquete turístico,Eivissa-Formentera,,,2018,2
Sin paquete turístico,Eivissa-Formentera,,,2018,2
Con paquete turístico,Mallorca,936.58,150.95,2018,1
Sin paquete turístico,Mallorca,717.64,94.09,2018,1
Con paquete turístico,Menorca,360.76,116.04,2018,1
Sin paquete turístico,Menorca,454.19,70.6,2018,1
Con paquete turístico,Eivissa-Formentera,,,2018,1
Sin paquete turístico,Eivissa-Formentera,584.18,101.23,2018,1
Con paquete turístico,Mallorca,997.9,143.92,2017,12
Sin paquete turístico,Mallorca,772.88,103.28,2017,12
Con paquete turístico,Menorca,597.03,86.04,2017,12
Sin paquete turístico,Menorca,423.71,66.89,2017,12
Con paquete turístico,Eivissa-Formentera,719.17,121.17,2017,12
Sin paquete turístico,Eivissa-Formentera,1007.74,110.39,2017,12
Con paquete turístico,Mallorca,883.12,140.55,2017,11
Sin paquete turístico,Mallorca,781.05,113.31,2017,11
Con paquete turístico,Menorca,538.06,75.2,2017,11
Sin paquete turístico,Menorca,663.07,73.94,2017,11
Con paquete turístico,Eivissa-Formentera,745.75,116.62,2017,11
Sin paquete turístico,Eivissa-Formentera,710.75,75.2,2017,11
Con paquete turístico,Mallorca,1057.67,137.28,2017,10
Sin paquete turístico,Mallorca,949.76,123.77,2017,10
Con paquete turístico,Menorca,1103.59,121.88,2017,10
Sin paquete turístico,Menorca,833.58,102.13,2017,10
