origen_turistas,Isla,year,month,Num_turistas
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,12,4777.0
Países nórdicos,Mallorca,2017,12,6714.0
ESPAÑA,Mallorca,2017,11,79943.0
Francia,Mallorca,2017,11,2183.0
Italia,Mallorca,2017,11,1009.0
Reino Unido,Mallorca,2017,11,23490.0
Alemania,Mallorca,2017,11,89144.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,11,5820.0
Países nórdicos,Mallorca,2017,11,16075.0
ESPAÑA,Mallorca,2017,10,90441.0
Francia,Mallorca,2017,10,26549.0
Italia,Mallorca,2017,10,4602.0
Reino Unido,Mallorca,2017,10,221792.0
Alemania,Mallorca,2017,10,466760.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,10,50958.0
Países nórdicos,Mallorca,2017,10,88998.0
ESPAÑA,Mallorca,2017,9,117197.0
Francia,Mallorca,2017,9,40982.0
Italia,Mallorca,2017,9,23402.0
Reino Unido,Mallorca,2017,9,347066.0
Alemania,Mallorca,2017,9,600346.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,9,63599.0
Países nórdicos,Mallorca,2017,9,133063.0
ESPAÑA,Mallorca,2017,8,209833.0
Francia,Mallorca,2017,8,96892.0
Italia,Mallorca,2017,8,63039.0
Reino Unido,Mallorca,2017,8,371955.0
Alemania,Mallorca,2017,8,602212.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,8,108154.0
Países nórdicos,Mallorca,2017,8,121976.0
ESPAÑA,Mallorca,2017,7,174264.0
Francia,Mallorca,2017,7,69138.0
Italia,Mallorca,2017,7,43114.0
Reino Unido,Mallorca,2017,7,393991.0
Alemania,Mallorca,2017,7,638454.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,7,106127.0
Países nórdicos,Mallorca,2017,7,211355.0
ESPAÑA,Mallorca,2017,6,151365.0
Francia,Mallorca,2017,6,44163.0
Italia,Mallorca,2017,6,26045.0
Reino Unido,Mallorca,2017,6,378403.0
Alemania,Mallorca,2017,6,687512.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,6,64853.0
Países nórdicos,Mallorca,2017,6,126797.0
ESPAÑA,Mallorca,2017,5,102277.0
Francia,Mallorca,2017,5,48409.0
Italia,Mallorca,2017,5,18161.0
Reino Unido,Mallorca,2017,5,336761.0
Alemania,Mallorca,2017,5,541448.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,5,75739.0
Países nórdicos,Mallorca,2017,5,128678.0
ESPAÑA,Mallorca,2017,4,137586.0
Francia,Mallorca,2017,4,28027.0
Italia,Mallorca,2017,4,7899.0
Reino Unido,Mallorca,2017,4,162575.0
Alemania,Mallorca,2017,4,436468.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,4,34624.0
Países nórdicos,Mallorca,2017,4,72698.0
ESPAÑA,Mallorca,2017,3,95208.0
Francia,Mallorca,2017,3,4839.0
Italia,Mallorca,2017,3,2583.0
Reino Unido,Mallorca,2017,3,39755.0
Alemania,Mallorca,2017,3,176628.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,3,13014.0
Países nórdicos,Mallorca,2017,3,26688.0
ESPAÑA,Mallorca,2017,2,66856.0
Francia,Mallorca,2017,2,3507.0
Italia,Mallorca,2017,2,
Reino Unido,Mallorca,2017,2,22921.0
Alemania,Mallorca,2017,2,93153.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,2,3089.0
Países nórdicos,Mallorca,2017,2,7687.0
ESPAÑA,Mallorca,2017,1,68611.0
Francia,Mallorca,2017,1,1349.0
Italia,Mallorca,2017,1,
Reino Unido,Mallorca,2017,1,9701.0
Alemania,Mallorca,2017,1,48505.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2017,1,3875.0
Países nórdicos,Mallorca,2017,1,5272.0
ESPAÑA,Mallorca,2016,12,50282.0
Francia,Mallorca,2016,12,2457.0
Italia,Mallorca,2016,12,2099.0
Reino Unido,Mallorca,2016,12,15452.0
Alemania,Mallorca,2016,12,43503.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,12,6598.0
Países nórdicos,Mallorca,2016,12,6001.0
ESPAÑA,Mallorca,2016,11,59602.0
Francia,Mallorca,2016,11,2820.0
Italia,Mallorca,2016,11,607.0
Reino Unido,Mallorca,2016,11,17562.0
Alemania,Mallorca,2016,11,75113.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,11,9558.0
Países nórdicos,Mallorca,2016,11,10531.0
ESPAÑA,Mallorca,2016,10,69635.0
Francia,Mallorca,2016,10,45499.0
Italia,Mallorca,2016,10,8047.0
Reino Unido,Mallorca,2016,10,195170.0
Alemania,Mallorca,2016,10,498364.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,10,50623.0
Países nórdicos,Mallorca,2016,10,76836.0
