tipo_alojamiento,Isla,year,month,Num_establecimientos
Alojamiento de familiares o amigos,Mallorca,2018,2,42377.0
Hoteles y similares,Mallorca,2018,1,48535.0
Alojamiento de alquiler,Mallorca,2018,1,16073.0
Otro alojamiento de mercado,Mallorca,2018,1,2385.0
Alojamiento en propiedad,Mallorca,2018,1,42233.0
Alojamiento de familiares o amigos,Mallorca,2018,1,69853.0
Hoteles y similares,Mallorca,2017,12,51947.0
Alojamiento de alquiler,Mallorca,2017,12,19741.0
Otro alojamiento de mercado,Mallorca,2017,12,2436.0
Alojamiento en propiedad,Mallorca,2017,12,22332.0
Alojamiento de familiares o amigos,Mallorca,2017,12,65218.0
Hoteles y similares,Mallorca,2017,11,92281.0
Alojamiento de alquiler,Mallorca,2017,11,37283.0
Otro alojamiento de mercado,Mallorca,2017,11,2482.0
Alojamiento en propiedad,Mallorca,2017,11,37540.0
Alojamiento de familiares o amigos,Mallorca,2017,11,71864.0
Hoteles y similares,Mallorca,2017,10,799814.0
Alojamiento de alquiler,Mallorca,2017,10,130169.0
Otro alojamiento de mercado,Mallorca,2017,10,18319.0
Alojamiento en propiedad,Mallorca,2017,10,42622.0
Alojamiento de familiares o amigos,Mallorca,2017,10,95624.0
Hoteles y similares,Mallorca,2017,9,1141391.0
Alojamiento de alquiler,Mallorca,2017,9,214282.0
Otro alojamiento de mercado,Mallorca,2017,9,38691.0
Alojamiento en propiedad,Mallorca,2017,9,40952.0
Alojamiento de familiares o amigos,Mallorca,2017,9,104505.0
Hoteles y similares,Mallorca,2017,8,1228495.0
Alojamiento de alquiler,Mallorca,2017,8,327680.0
Otro alojamiento de mercado,Mallorca,2017,8,54304.0
Alojamiento en propiedad,Mallorca,2017,8,39745.0
Alojamiento de familiares o amigos,Mallorca,2017,8,196005.0
Hoteles y similares,Mallorca,2017,7,1343100.0
Alojamiento de alquiler,Mallorca,2017,7,315729.0
Otro alojamiento de mercado,Mallorca,2017,7,30017.0
Alojamiento en propiedad,Mallorca,2017,7,67420.0
Alojamiento de familiares o amigos,Mallorca,2017,7,169467.0
Hoteles y similares,Mallorca,2017,6,1196871.0
Alojamiento de alquiler,Mallorca,2017,6,262414.0
Otro alojamiento de mercado,Mallorca,2017,6,10053.0
Alojamiento en propiedad,Mallorca,2017,6,60613.0
Alojamiento de familiares o amigos,Mallorca,2017,6,133302.0
Hoteles y similares,Mallorca,2017,5,1017010.0
Alojamiento de alquiler,Mallorca,2017,5,191043.0
Otro alojamiento de mercado,Mallorca,2017,5,13336.0
Alojamiento en propiedad,Mallorca,2017,5,59561.0
Alojamiento de familiares o amigos,Mallorca,2017,5,105392.0
Hoteles y similares,Mallorca,2017,4,479877.0
Alojamiento de alquiler,Mallorca,2017,4,244083.0
Otro alojamiento de mercado,Mallorca,2017,4,26725.0
Alojamiento en propiedad,Mallorca,2017,4,90866.0
Alojamiento de familiares o amigos,Mallorca,2017,4,157034.0
Hoteles y similares,Mallorca,2017,3,217900.0
Alojamiento de alquiler,Mallorca,2017,3,56593.0
Otro alojamiento de mercado,Mallorca,2017,3,2590.0
Alojamiento en propiedad,Mallorca,2017,3,51629.0
Alojamiento de familiares o amigos,Mallorca,2017,3,74027.0
Hoteles y similares,Mallorca,2017,2,106401.0
Alojamiento de alquiler,Mallorca,2017,2,25872.0
Otro alojamiento de mercado,Mallorca,2017,2,
Alojamiento en propiedad,Mallorca,2017,2,32024.0
Alojamiento de familiares o amigos,Mallorca,2017,2,56308.0
Hoteles y similares,Mallorca,2017,1,43301.0
Alojamiento de alquiler,Mallorca,2017,1,18882.0
Otro alojamiento de mercado,Mallorca,2017,1,2708.0
Alojamiento en propiedad,Mallorca,2017,1,27687.0
Alojamiento de familiares o amigos,Mallorca,2017,1,71168.0
Hoteles y similares,Mallorca,2016,12,50452.0
Alojamiento de alquiler,Mallorca,2016,12,18952.0
Otro alojamiento de mercado,Mallorca,2016,12,1156.0
Alojamiento en propiedad,Mallorca,2016,12,17013.0
Alojamiento de familiares o amigos,Mallorca,2016,12,53432.0
Hoteles y similares,Mallorca,2016,11,78048.0
Alojamiento de alquiler,Mallorca,2016,11,29089.0
Otro alojamiento de mercado,Mallorca,2016,11,3879.0
Alojamiento en propiedad,Mallorca,2016,11,29033.0
Alojamiento de familiares o amigos,Mallorca,2016,11,59078.0
Hoteles y similares,Mallorca,2016,10,721031.0
Alojamiento de alquiler,Mallorca,2016,10,111022.0
Otro alojamiento de mercado,Mallorca,2016,10,76413.0
Alojamiento en propiedad,Mallorca,2016,10,64385.0
Alojamiento de familiares o amigos,Mallorca,2016,10,84365.0
Hoteles y similares,Mallorca,2016,9,1107390.0
Alojamiento de alquiler,Mallorca,2016,9,161425.0
Otro alojamiento de mercado,Mallorca,2016,9,14549.0
Alojamiento en propiedad,Mallorca,2016,9,48940.0
Alojamiento de familiares o amigos,Mallorca,2016,9,109967.0
Hoteles y similares,Mallorca,2016,8,1290868.0
Alojamiento de alquiler,Mallorca,2016,8,231578.0
Otro alojamiento de mercado,Mallorca,2016,8,25342.0
Alojamiento en propiedad,Mallorca,2016,8,89354.0
Alojamiento de familiares o amigos,Mallorca,2016,8,142239.0
Hoteles y similares,Mallorca,2016,7,1271592.0
Alojamiento de alquiler,Mallorca,2016,7,319814.0
Otro alojamiento de mercado,Mallorca,2016,7,20663.0
Alojamiento en propiedad,Mallorca,2016,7,66109.0
Alojamiento de familiares o amigos,Mallorca,2016,7,157115.0
Hoteles y similares,Mallorca,2016,6,1146381.0
Alojamiento de alquiler,Mallorca,2016,6,181274.0
Otro alojamiento de mercado,Mallorca,2016,6,39483.0
Alojamiento en propiedad,Mallorca,2016,6,57899.0
Alojamiento de familiares o amigos,Mallorca,2016,6,103915.0
Hoteles y similares,Mallorca,2016,5,982485.0
Alojamiento de alquiler,Mallorca,2016,5,131641.0
Otro alojamiento de mercado,Mallorca,2016,5,40565.0
Alojamiento en propiedad,Mallorca,2016,5,36453.0
Alojamiento de familiares o amigos,Mallorca,2016,5,104070.0
Hoteles y similares,Mallorca,2016,4,451921.0
Alojamiento de alquiler,Mallorca,2016,4,135768.0
Otro alojamiento de mercado,Mallorca,2016,4,9002.0
Alojamiento en propiedad,Mallorca,2016,4,51440.0
Alojamiento de familiares o amigos,Mallorca,2016,4,126970.0
Hoteles y similares,Mallorca,2016,3,250298.0
Alojamiento de alquiler,Mallorca,2016,3,60979.0
Otro alojamiento de mercado,Mallorca,2016,3,12873.0
Alojamiento en propiedad,Mallorca,2016,3,50457.0
Alojamiento de familiares o amigos,Mallorca,2016,3,101670.0
Hoteles y similares,Mallorca,2016,2,102927.0
Alojamiento de alquiler,Mallorca,2016,2,24534.0
Otro alojamiento de mercado,Mallorca,2016,2,2022.0
Alojamiento en propiedad,Mallorca,2016,2,26824.0
Alojamiento de familiares o amigos,Mallorca,2016,2,65059.0
Hoteles y similares,Mallorca,2016,1,42885.0
Alojamiento de alquiler,Mallorca,2016,1,13613.0
Otro alojamiento de mercado,Mallorca,2016,1,1658.0
Alojamiento en propiedad,Mallorca,2016,1,29278.0
Alojamiento de familiares o amigos,Mallorca,2016,1,68609.0
Hoteles y similares,Mallorca,2015,12,41741.0
Alojamiento de alquiler,Mallorca,2015,12,16008.0
Otro alojamiento de mercado,Mallorca,2015,12,986.0
Alojamiento en propiedad,Mallorca,2015,12,17981.0
Alojamiento de familiares o amigos,Mallorca,2015,12,54867.0
Hoteles y similares,Mallorca,2015,11,68089.0
Alojamiento de alquiler,Mallorca,2015,11,24097.0
Otro alojamiento de mercado,Mallorca,2015,11,4593.0
Alojamiento en propiedad,Mallorca,2015,11,24282.0
Alojamiento de familiares o amigos,Mallorca,2015,11,51630.0
Hoteles y similares,Mallorca,2015,10,645476.0
Alojamiento de alquiler,Mallorca,2015,10,101792.0
Otro alojamiento de mercado,Mallorca,2015,10,29243.0
Alojamiento en propiedad,Mallorca,2015,10,30659.0
Alojamiento de familiares o amigos,Mallorca,2015,10,59186.0
