procedencia,Isla,Transporte,Alojamiento,Manutención,Actividades,Otros,year,month
España,Ibiza_Formentera,9.66,13.61,16.03,8.59,4.99,2018,9
Extranjero,Ibiza_Formentera,79.84,90.07,70.24,68.06,30.9,2018,9
España,Mallorca,28.13,28.07,28.13,22.1,25.32,2018,8
Extranjero,Mallorca,189.2,359.82,271.36,228.1,143.16,2018,8
España,Menorca,18.12,22.5,26.19,10.88,11.33,2018,8
Extranjero,Menorca,15.09,39.73,28.79,22.54,20.63,2018,8
España,Ibiza_Formentera,14.72,25.86,29.48,14.31,4.82,2018,8
Extranjero,Ibiza_Formentera,127.49,120.17,81.62,82.1,41.15,2018,8
España,Mallorca,24.89,16.32,24.19,16.21,19.72,2018,7
Extranjero,Mallorca,256.62,369.74,313.58,249.65,157.16,2018,7
España,Menorca,15.49,18.35,20.89,8.7,10.64,2018,7
Extranjero,Menorca,17.59,42.61,34.63,25.64,23.85,2018,7
España,Ibiza_Formentera,12.82,20.63,20.12,10.03,4.06,2018,7
Extranjero,Ibiza_Formentera,127.92,116.27,89.86,80.63,41.11,2018,7
España,Mallorca,20.46,19.81,19.68,14.62,15.76,2018,6
Extranjero,Mallorca,152.11,224.77,241.52,200.07,120.06,2018,6
España,Menorca,7.99,8.61,9.0,4.48,8.34,2018,6
Extranjero,Menorca,12.23,30.12,26.16,20.37,16.27,2018,6
España,Ibiza_Formentera,8.56,12.82,11.11,5.58,4.85,2018,6
Extranjero,Ibiza_Formentera,63.11,70.32,65.39,62.22,28.25,2018,6
España,Mallorca,13.45,8.0,12.42,10.25,9.8,2018,5
Extranjero,Mallorca,134.84,195.59,196.58,159.84,103.2,2018,5
España,Menorca,2.39,2.43,2.92,1.68,1.6,2018,5
Extranjero,Menorca,8.05,10.07,14.53,12.32,10.65,2018,5
España,Ibiza_Formentera,6.59,6.68,8.7,4.48,2.96,2018,5
Extranjero,Ibiza_Formentera,42.66,44.56,47.56,44.91,21.18,2018,5
España,Mallorca,13.68,7.22,14.76,11.85,10.35,2018,4
Extranjero,Mallorca,97.43,120.91,146.3,102.24,73.98,2018,4
España,Menorca,3.54,1.28,4.35,2.12,2.12,2018,4
Extranjero,Menorca,1.32,0.96,2.45,1.38,2.8,2018,4
España,Ibiza_Formentera,5.52,4.37,7.99,3.44,2.53,2018,4
Extranjero,Ibiza_Formentera,31.65,14.12,23.79,17.11,7.26,2018,4
España,Mallorca,9.83,5.49,10.78,8.11,7.0,2018,3
Extranjero,Mallorca,57.2,61.04,79.0,55.01,43.3,2018,3
España,Menorca,2.52,0.75,2.88,1.78,0.96,2018,3
Extranjero,Menorca,0.44,,1.5,0.38,0.38,2018,3
España,Ibiza_Formentera,4.35,1.3,6.25,3.27,1.36,2018,3
Extranjero,Ibiza_Formentera,4.78,3.06,6.67,4.17,2.72,2018,3
España,Mallorca,8.36,7.5,7.74,4.31,6.59,2018,2
Extranjero,Mallorca,24.87,20.62,30.39,24.3,12.72,2018,2
España,Menorca,1.09,0.19,1.0,0.72,0.41,2018,2
Extranjero,Menorca,,,,,,2018,2
España,Ibiza_Formentera,2.11,1.03,3.27,1.79,0.69,2018,2
Extranjero,Ibiza_Formentera,2.49,,3.05,1.67,1.02,2018,2
España,Mallorca,8.28,3.02,8.78,5.57,4.37,2018,1
Extranjero,Mallorca,17.59,14.44,27.72,20.2,12.51,2018,1
España,Menorca,1.25,0.33,1.39,0.7,0.44,2018,1
Extranjero,Menorca,,,,,,2018,1
España,Ibiza_Formentera,2.4,0.73,3.49,1.78,0.68,2018,1
Extranjero,Ibiza_Formentera,2.11,2.35,2.78,1.69,1.21,2018,1
España,Mallorca,8.41,3.61,8.78,5.69,5.57,2017,12
Extranjero,Mallorca,16.79,15.01,25.32,16.81,10.53,2017,12
España,Menorca,1.04,0.28,1.19,0.59,0.34,2017,12
Extranjero,Menorca,,,,,,2017,12
España,Ibiza_Formentera,1.8,0.47,2.7,1.46,0.7,2017,12
Extranjero,Ibiza_Formentera,2.41,3.39,5.64,4.09,2.1,2017,12
España,Mallorca,8.56,4.01,7.35,5.54,6.11,2017,11
Extranjero,Mallorca,24.48,26.74,39.08,26.98,18.95,2017,11
España,Menorca,1.02,0.89,1.31,0.75,0.65,2017,11
Extranjero,Menorca,,,,,,2017,11
España,Ibiza_Formentera,2.32,1.83,3.51,1.93,1.01,2017,11
Extranjero,Ibiza_Formentera,1.85,2.09,3.67,2.75,1.93,2017,11
España,Mallorca,9.8,6.7,9.67,7.05,6.54,2017,10
Extranjero,Mallorca,90.21,140.93,165.42,134.64,92.41,2017,10
España,Menorca,2.31,2.26,2.84,1.53,1.31,2017,10
Extranjero,Menorca,6.02,9.37,9.13,7.46,6.34,2017,10
España,Ibiza_Formentera,5.26,11.11,6.75,2.76,4.58,2017,10
Extranjero,Ibiza_Formentera,34.4,43.35,41.32,38.91,18.67,2017,10
España,Mallorca,13.21,13.53,17.29,11.38,14.42,2017,9
Extranjero,Mallorca,122.54,207.05,240.28,203.29,123.62,2017,9
España,Menorca,7.16,7.96,9.29,4.1,4.68,2017,9
Extranjero,Menorca,12.29,24.11,24.19,19.06,13.5,2017,9
España,Ibiza_Formentera,9.06,13.35,13.41,6.82,6.4,2017,9
Extranjero,Ibiza_Formentera,74.47,76.25,75.48,68.39,29.5,2017,9
España,Mallorca,28.9,23.98,33.66,20.51,30.14,2017,8
Extranjero,Mallorca,183.56,353.99,291.03,214.8,162.43,2017,8
España,Menorca,16.6,20.78,20.65,7.58,10.51,2017,8
Extranjero,Menorca,23.31,37.58,30.21,25.22,22.84,2017,8
España,Ibiza_Formentera,15.86,23.94,25.44,12.26,5.48,2017,8
Extranjero,Ibiza_Formentera,110.93,115.97,97.46,85.29,38.81,2017,8
España,Mallorca,21.47,14.84,22.01,14.5,19.27,2017,7
Extranjero,Mallorca,186.22,308.0,299.21,234.75,175.2,2017,7
España,Menorca,15.41,16.91,18.58,6.42,9.95,2017,7
Extranjero,Menorca,19.65,39.23,34.96,26.5,24.78,2017,7
España,Ibiza_Formentera,15.08,24.71,21.43,10.72,4.56,2017,7
Extranjero,Ibiza_Formentera,157.97,112.84,96.07,120.81,44.22,2017,7
España,Mallorca,15.99,12.76,15.15,12.45,12.47,2017,6
Extranjero,Mallorca,145.06,223.41,248.9,198.41,132.95,2017,6
España,Menorca,6.65,6.83,7.41,3.35,5.23,2017,6
Extranjero,Menorca,14.94,17.61,24.38,19.48,14.46,2017,6
España,Ibiza_Formentera,10.67,13.1,14.08,7.16,7.96,2017,6
Extranjero,Ibiza_Formentera,84.54,64.99,70.19,73.24,31.3,2017,6
España,Mallorca,10.71,5.77,9.97,7.33,6.8,2017,5
Extranjero,Mallorca,140.92,211.06,216.03,160.25,112.63,2017,5
España,Menorca,1.97,1.31,2.79,1.63,2.19,2017,5
Extranjero,Menorca,6.75,11.54,14.85,11.91,9.96,2017,5
España,Ibiza_Formentera,7.34,7.04,9.66,4.63,4.39,2017,5
Extranjero,Ibiza_Formentera,43.77,49.93,51.76,40.27,23.41,2017,5
España,Mallorca,14.07,5.72,14.19,11.47,10.19,2017,4
Extranjero,Mallorca,108.59,145.99,162.15,104.72,83.26,2017,4
España,Menorca,4.5,2.7,5.09,2.63,4.07,2017,4
Extranjero,Menorca,1.88,1.9,2.86,2.07,1.95,2017,4
España,Ibiza_Formentera,6.53,2.58,8.99,4.31,2.67,2017,4
Extranjero,Ibiza_Formentera,31.44,17.59,23.37,17.92,9.74,2017,4
España,Mallorca,9.63,6.85,8.35,6.91,6.66,2017,3
Extranjero,Mallorca,41.55,38.09,56.26,43.23,31.51,2017,3
España,Menorca,2.49,0.94,2.24,1.7,1.63,2017,3
Extranjero,Menorca,0.27,,0.72,0.55,0.31,2017,3
España,Ibiza_Formentera,3.77,0.41,5.87,3.09,1.12,2017,3
Extranjero,Ibiza_Formentera,2.98,,3.34,3.67,1.37,2017,3
España,Mallorca,7.47,4.74,5.73,4.22,3.88,2017,2
Extranjero,Mallorca,22.59,21.28,29.99,22.93,14.62,2017,2
España,Menorca,1.39,0.35,1.39,0.76,0.62,2017,2
Extranjero,Menorca,0.17,,0.27,0.17,0.09,2017,2
España,Ibiza_Formentera,1.69,0.81,2.35,1.06,0.69,2017,2
Extranjero,Ibiza_Formentera,2.22,1.19,2.04,1.28,1.07,2017,2
España,Mallorca,7.72,2.24,6.6,4.81,2.57,2017,1
Extranjero,Mallorca,25.06,11.88,18.53,21.32,9.06,2017,1
España,Menorca,1.29,0.35,1.45,0.77,0.61,2017,1
Extranjero,Menorca,0.09,,0.14,0.08,0.05,2017,1
España,Ibiza_Formentera,2.15,,3.04,1.34,0.41,2017,1
Extranjero,Ibiza_Formentera,1.73,1.32,2.74,1.65,0.99,2017,1
España,Mallorca,5.71,1.6,4.03,3.67,2.27,2016,12
Extranjero,Mallorca,15.97,21.35,25.75,20.07,13.39,2016,12
España,Menorca,1.35,0.47,1.45,0.7,0.53,2016,12
Extranjero,Menorca,,,,,,2016,12
España,Ibiza_Formentera,1.66,0.95,2.16,1.16,0.65,2016,12
Extranjero,Ibiza_Formentera,2.31,1.41,2.3,1.24,0.84,2016,12
España,Mallorca,7.06,4.35,5.73,4.16,5.37,2016,11
Extranjero,Mallorca,21.81,20.73,28.17,19.76,14.1,2016,11
España,Menorca,1.2,0.54,1.34,0.64,0.63,2016,11
Extranjero,Menorca,0.18,,0.31,0.2,0.15,2016,11
España,Ibiza_Formentera,2.09,2.08,2.84,1.47,1.06,2016,11
