origen_turista,Gasto_persona,Gasto_persona_día,year,month
Francia,840.5,133.98,2017,4
Italia,605.5,123.78,2017,4
Reino Unido,751.38,130.0,2017,4
Alemania,957.98,125.08,2017,4
"Bélgica, Luxemburgo y Países Bajos",875.8,152.09,2017,4
Países nórdicos,1043.92,183.15,2017,4
ESPAÑA,436.78,78.09,2017,3
Francia,,,2017,3
Italia,681.46,108.1,2017,3
Reino Unido,827.17,127.47,2017,3
Alemania,838.25,135.88,2017,3
"Bélgica, Luxemburgo y Países Bajos",792.38,143.86,2017,3
Países nórdicos,1024.14,165.92,2017,3
ESPAÑA,416.93,85.54,2017,2
Francia,777.03,124.98,2017,2
Italia,980.66,53.04,2017,2
Reino Unido,733.9,118.73,2017,2
Alemania,870.17,127.8,2017,2
"Bélgica, Luxemburgo y Países Bajos",776.31,128.85,2017,2
Países nórdicos,,,2017,2
ESPAÑA,373.11,65.84,2017,1
Francia,663.22,110.55,2017,1
Italia,,,2017,1
Reino Unido,663.19,92.81,2017,1
Alemania,852.92,99.48,2017,1
"Bélgica, Luxemburgo y Países Bajos",814.41,111.42,2017,1
Países nórdicos,,,2017,1
ESPAÑA,384.88,64.39,2016,12
Francia,740.98,77.48,2016,12
Italia,975.02,60.26,2016,12
Reino Unido,762.29,113.71,2016,12
Alemania,1053.2,102.37,2016,12
"Bélgica, Luxemburgo y Países Bajos",1105.0,97.7,2016,12
Países nórdicos,1260.21,129.0,2016,12
ESPAÑA,463.79,79.46,2016,11
Francia,755.22,134.84,2016,11
Italia,642.76,86.2,2016,11
Reino Unido,748.98,127.47,2016,11
Alemania,852.56,134.45,2016,11
"Bélgica, Luxemburgo y Países Bajos",854.43,129.05,2016,11
Países nórdicos,988.52,142.53,2016,11
ESPAÑA,538.64,75.58,2016,10
Francia,989.21,74.36,2016,10
Italia,644.08,87.49,2016,10
Reino Unido,863.69,117.23,2016,10
Alemania,998.06,120.97,2016,10
"Bélgica, Luxemburgo y Países Bajos",896.22,135.85,2016,10
Países nórdicos,1102.37,159.7,2016,10
ESPAÑA,619.73,85.19,2016,9
Francia,946.06,135.03,2016,9
Italia,823.9,129.75,2016,9
Reino Unido,873.52,129.35,2016,9
Alemania,967.37,122.97,2016,9
"Bélgica, Luxemburgo y Países Bajos",1094.74,151.8,2016,9
Países nórdicos,1099.22,144.54,2016,9
ESPAÑA,708.42,85.44,2016,8
Francia,1102.44,126.06,2016,8
Italia,1028.3,143.04,2016,8
Reino Unido,980.29,130.82,2016,8
Alemania,1050.76,130.93,2016,8
"Bélgica, Luxemburgo y Países Bajos",1168.86,137.39,2016,8
Países nórdicos,1256.15,164.06,2016,8
ESPAÑA,607.81,93.98,2016,7
Francia,938.53,146.57,2016,7
Italia,909.71,144.74,2016,7
Reino Unido,1040.29,141.16,2016,7
Alemania,1037.55,133.26,2016,7
"Bélgica, Luxemburgo y Países Bajos",1163.04,172.41,2016,7
Países nórdicos,1245.3,151.62,2016,7
ESPAÑA,560.91,102.66,2016,6
Francia,910.56,133.56,2016,6
Italia,754.59,123.5,2016,6
Reino Unido,841.67,128.23,2016,6
Alemania,960.05,129.46,2016,6
"Bélgica, Luxemburgo y Países Bajos",1031.37,147.32,2016,6
Países nórdicos,1089.16,145.93,2016,6
ESPAÑA,506.54,91.63,2016,5
Francia,882.51,129.87,2016,5
Italia,658.87,137.85,2016,5
Reino Unido,813.74,131.66,2016,5
Alemania,899.05,137.45,2016,5
"Bélgica, Luxemburgo y Países Bajos",1026.07,142.82,2016,5
Países nórdicos,988.73,184.39,2016,5
ESPAÑA,446.67,76.56,2016,4
Francia,760.35,121.54,2016,4
Italia,563.1,105.46,2016,4
Reino Unido,703.31,119.02,2016,4
Alemania,930.54,120.85,2016,4
"Bélgica, Luxemburgo y Países Bajos",854.19,130.33,2016,4
Países nórdicos,971.86,189.63,2016,4
ESPAÑA,429.14,79.45,2016,3
Francia,,,2016,3
Italia,,,2016,3
Reino Unido,738.1,117.24,2016,3
Alemania,954.12,124.1,2016,3
"Bélgica, Luxemburgo y Países Bajos",800.74,120.1,2016,3
Países nórdicos,,,2016,3
ESPAÑA,395.62,81.83,2016,2
Francia,,,2016,2
Italia,,,2016,2
Reino Unido,722.34,106.41,2016,2
Alemania,939.06,120.47,2016,2
"Bélgica, Luxemburgo y Países Bajos",813.04,125.35,2016,2
Países nórdicos,,,2016,2
ESPAÑA,422.25,55.0,2016,1
Francia,850.34,87.68,2016,1
Italia,,,2016,1
Reino Unido,682.29,114.4,2016,1
Alemania,913.29,106.34,2016,1
"Bélgica, Luxemburgo y Países Bajos",970.59,105.93,2016,1
Países nórdicos,,,2016,1
ESPAÑA,429.78,64.1,2015,12
Francia,,,2015,12
Italia,660.56,70.02,2015,12
Reino Unido,809.23,78.64,2015,12
Alemania,783.06,122.43,2015,12
"Bélgica, Luxemburgo y Países Bajos",802.86,110.21,2015,12
Países nórdicos,1516.52,89.77,2015,12
ESPAÑA,435.5,73.49,2015,11
Francia,946.6,112.51,2015,11
Italia,399.38,85.71,2015,11
Reino Unido,773.13,95.84,2015,11
Alemania,949.22,99.79,2015,11
"Bélgica, Luxemburgo y Países Bajos",1106.78,68.97,2015,11
Países nórdicos,,,2015,11
ESPAÑA,511.15,77.86,2015,10
Francia,871.64,116.33,2015,10
Italia,856.05,82.16,2015,10
Reino Unido,841.99,115.34,2015,10
Alemania,959.55,111.98,2015,10
"Bélgica, Luxemburgo y Países Bajos",1028.02,127.55,2015,10
Países nórdicos,998.79,120.6,2015,10
ESPAÑA,751.01,91.25,2015,9
Francia,825.99,90.01,2015,9
Italia,1084.72,135.44,2015,9
Reino Unido,886.25,111.02,2015,9
Alemania,884.37,109.63,2015,9
"Bélgica, Luxemburgo y Países Bajos",921.84,112.36,2015,9
Países nórdicos,1076.05,137.03,2015,9
ESPAÑA,800.5,93.09,2015,8
Francia,949.96,100.29,2015,8
Italia,948.74,125.52,2015,8
Reino Unido,1036.78,127.1,2015,8
Alemania,978.83,107.49,2015,8
"Bélgica, Luxemburgo y Países Bajos",1078.76,122.11,2015,8
Países nórdicos,1168.47,131.63,2015,8
ESPAÑA,688.19,89.59,2015,7
Francia,928.04,100.66,2015,7
Italia,826.57,115.58,2015,7
Reino Unido,923.44,116.64,2015,7
