tipo_alojamiento,year,num_establecim,num_plazas,Isla
   (CT) CAMPING TURÍSTICO,2008,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2008,2.0,1778.0,Mallorca
   (F) FONDA,2008,9.0,248.0,Mallorca
   (H) HOTEL,2008,555.0,149405.0,Mallorca
   (HA) HOTEL APARTAMENTO,2008,175.0,72323.0,Mallorca
   (HO) HOSPEDERÍA,2008,,,Mallorca
   (HR) HOTEL RURAL,2008,27.0,981.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2008,13.0,844.0,Mallorca
   (HS) HOSTAL,2008,94.0,5417.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2008,105.0,4256.0,Mallorca
   (PE) PENSIÓN,2008,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2008,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2008,48.0,607.0,Mallorca
   (AG) AGROTURISMO,2020,33.0,703.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2020,199.0,20170.0,Menorca
   (CH) CASA DE HUÉSPEDES,2020,2.0,39.0,Menorca
   (CT) CAMPING TURÍSTICO,2020,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2020,1.0,816.0,Menorca
   (F) FONDA,2020,1.0,7.0,Menorca
   (H) HOTEL,2020,54.0,14363.0,Menorca
   (HA) HOTEL APARTAMENTO,2020,34.0,12537.0,Menorca
   (HO) HOSPEDERÍA,2020,1.0,36.0,Menorca
   (HR) HOTEL RURAL,2020,6.0,226.0,Menorca
   (HRE) HOTEL RESIDENCIA,2020,0.0,0.0,Menorca
   (HS) HOSTAL,2020,9.0,350.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2020,13.0,502.0,Menorca
   (PE) PENSIÓN,2020,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2020,3.0,1612.0,Menorca
   (TI) TURISMO DE INTERIOR,2020,50.0,714.0,Menorca
   (AG) AGROTURISMO,2019,30.0,645.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2019,204.0,20353.0,Menorca
   (CH) CASA DE HUÉSPEDES,2019,2.0,39.0,Menorca
   (CT) CAMPING TURÍSTICO,2019,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2019,1.0,816.0,Menorca
   (F) FONDA,2019,1.0,7.0,Menorca
   (H) HOTEL,2019,55.0,14092.0,Menorca
